     1989.1323309209     1971.5687116641     1953.9583475031
     2011.7163724077     1995.2248811499     1978.7159849750
     2027.1482691573     2011.0389394263     1994.9224406102
     1972.8343491515     1955.2694196830     1937.6662254486
     1992.1744730780     1974.6365275675     1957.0408337000
     2008.8042866208     1991.3281645575     1973.7962872405
     1985.2572091659     1967.7826483991     1950.2568597046
     1980.1773064000     1962.4381174071     1944.6489789011
     2000.1284759835     1982.8436594758     1965.5125229328
     1970.0367597858     1952.3288380564     1934.5810302832
     2000.4027266773     1983.1211305762     1965.7902268168
     2042.7744501126     2026.3697334202     2009.9137943274
     2007.8715709050     1990.5003081983     1973.0592653370
     1980.8994925741     1962.9430623375     1944.9215595525
     1955.7686222828     1937.2352552677     1918.6254635013
     1944.6938063916     1926.1045047278     1907.4523383066
     1959.7827295779     1941.9956291308     1924.1654759253
     1994.0215291238     1976.5503921373     1959.0269943452
     2022.8847933273     2005.8801894103     1988.8193143745
     2021.0548565845     2003.9273721282     1986.7378055325
     2001.8599202817     1984.9327718210     1967.9665738045
     2018.8327884528     2002.0052004240     1985.1327240965
     1981.6973100304     1964.0089258286     1946.2690458942
     1969.0802247858     1951.5608419039     1933.9928646877
     2006.2945782559     1988.8415988181     1971.3234566998
     1979.0539256704     1961.1730231668     1943.2292570170
     1957.1222856774     1938.8591296187     1920.5282438757
     1984.8731861684     1967.2778220422     1949.6158275318
     2019.1390436133     2002.1359476509     1985.0837390738
     2018.1924169760     2001.5273524338     1984.8173298036
     2039.2570613972     2023.3644298109     2007.4549167924
     1978.4555646828     1961.0109849331     1943.5320633183
     1970.1117718638     1952.3313709378     1934.5029635243
     2001.5234247146     1984.1486783497     1966.7151111497
     2017.3431693940     2000.0463703259     1982.6833141668
     1998.2842307119     1980.6683601151     1962.9831457350
     2010.0774582919     1992.6767513891     1975.2104518457
     2016.9348374595     2000.4082873041     1983.8541563168
     1983.6016455066     1966.2103943730     1948.7814321904
     2011.3383634681     1994.5653931562     1977.7579119790
     2041.6043209950     2025.2968588830     2008.9439091457
     2014.2217492310     1996.8731049086     1979.4606926471
     1973.7452303691     1955.6393740432     1937.4625575037
     1971.3793642082     1953.8605678750     1936.2814452241
     1974.9996605176     1957.1649916041     1939.2693542981
     2001.2583430999     1983.8922763716     1966.4764549378
     2045.8568628609     2029.1989084583     2012.4799629743
     2000.9136863104     1983.7495899865     1966.5419552684
     1958.8744957621     1940.7932899455     1922.6640632368
     1967.9093536111     1950.0005743023     1932.0440014632
     2011.8726190544     1994.5576734360     1977.1778662984
     1980.9254609335     1963.2287597607     1945.4738744576
     1987.7837306389     1969.7598561863     1951.6548031215
     1992.2645882194     1974.5036653846     1956.6799688415
     1975.1610828342     1957.5956104292     1939.9934364110
     1977.1335445843     1959.5750094494     1941.9847073146
     2024.7166651616     2007.8610409742     1990.9575763335
     1972.8144953271     1954.9134295266     1936.9557208354
     1988.2578994703     1970.3226527960     1952.3178574719
     1985.5436296835     1967.6961937894     1949.7860418743
     1923.4880009012     1904.2838595345     1885.0036272919
     1948.3775257156     1929.8541596589     1911.2692135182
     2002.4513905143     1984.9202551908     1967.3270731316
     2000.7791263433     1983.2720783874     1965.7092707652
     2025.9038194600     2009.0780296709     1992.2035888089
     1991.4124000302     1974.2319552261     1957.0003794348
     1960.9903008467     1943.0250532374     1925.0030434215
     1980.1049907630     1962.1800034233     1944.1865419539
     2006.5227529276     1989.3329047186     1972.0883561102
     1988.9126764028     1971.9006046211     1954.8437623664
     1977.8131490368     1960.4939392998     1943.1314762824
     2001.1373056555     1984.2685231018     1967.3743476962
     2041.6759610304     2025.3135505210     2008.9212041728
     2035.6448169289     2019.2864305269     2002.8893351875
     2047.1261279851     2030.7887369473     2014.4110445791
     2047.8666719192     2031.3990454882     2014.8763138913
     1981.7622522284     1963.9822669653     1946.1422629994
     1999.2175320017     1981.6991071965     1964.1098996202
     1979.7365893868     1961.8297947978     1943.8572494215
     1975.0604942750     1957.0186169678     1938.9055136987
     2007.0430297719     1989.9080763120     1972.7218897376
     2039.0764715347     2022.6648156540     2006.2126668309
     1988.6375162485     1971.2707047781     1953.8657902240
     2013.3206177972     1996.3517519164     1979.3362704231
     2018.0622338513     2001.1576951433     1984.1997471120
     2021.1635684409     2004.2332779166     1987.6592314484
     2005.5332487091     1988.2527938095     1970.9131267162
     1980.1027717170     1962.5849971051     1945.0244403157
     1966.0933659922     1948.4431342466     1930.7551140824
     1947.8494807492     1929.6192024905     1911.3401100216
     2024.0855130909     2007.2022040511     1990.2639479007
     2025.2434339184     2008.0489888705     1990.7899387147
     2006.9014481594     1989.6215814859     1972.2830509967
     2023.4216066011     2006.6246025393     1989.7795845924
     2018.9812321066     2002.2024163085     1985.3772790341
     1940.6400900572     1922.6527103073     1904.6262842585
     1984.6519332694     1967.2463650904     1949.7911332751
     2010.1370581285     1993.2004307016     1976.2173845471
     1985.8967371521     1968.3236949033     1950.6933744132
     2014.7404438520     1997.6768052633     1980.5616245236
     2021.9983478531     2004.9266014997     1987.7880644012
     1995.1003208751     1977.8089680498     1960.4784230265
     1999.6701088592     1982.8771784976     1966.0591908763
     2040.7359173654     2024.5967925976     2008.4319087465
     1984.2494246112     1966.7024587157     1949.1092373245
     1950.6753224162     1932.0586424623     1913.3672847314
     1975.9444075915     1958.0585612778     1940.1021745543
     2014.2851215688     1996.9759811539     1979.5959000171
     2006.2685927774     1988.8144806404     1971.2959224652
     1994.0195712978     1976.8213261349     1959.5898448580
     2005.5198942696     1988.6948486806     1971.8423500357
     1973.5028876086     1955.9568660575     1938.3720899598
